,mt,mr,mre
0,"Infinix HOT 12 Play (Horizon Blue, 64 GB)",4.3,"23,603 Ratings & 2,055 Reviews"
1,"Infinix HOT 12 Play (Daylight Green, 64 GB)",4.3,"23,603 Ratings & 2,055 Reviews"
2,"Infinix HOT 12 Play (Racing Black, 64 GB)",4.3,"23,603 Ratings & 2,055 Reviews"
3,"CAT S62 Pro (Black, 128 GB)",4.4,"38,670 Ratings & 2,381 Reviews"
4,"REDMI 10 (Pacific Blue, 64 GB)",4.6,"88,654 Ratings & 6,648 Reviews"
5,"APPLE iPhone 11 (Black, 64 GB)",4.4,"38,670 Ratings & 2,381 Reviews"
6,"REDMI 10 (Caribbean Green, 64 GB)",4.5,"18,156 Ratings & 1,102 Reviews"
7,"realme 9i (Prism Black, 128 GB)",4.5,"65,579 Ratings & 3,656 Reviews"
8,"realme 9i (Prism Black, 64 GB)",4.5,"18,156 Ratings & 1,102 Reviews"
9,"realme 9i (Prism Blue, 128 GB)",4.5,"65,579 Ratings & 3,656 Reviews"
10,"realme 9i (Prism Black, 128 GB)",4.5,"65,579 Ratings & 3,656 Reviews"
11,"realme 9i (Prism Blue, 64 GB)",4.6,"88,654 Ratings & 6,648 Reviews"
12,"APPLE iPhone 11 (White, 64 GB)",4.4,"83,640 Ratings & 4,908 Reviews"
13,"POCO C31 (Royal Blue, 64 GB)",4.5,"65,579 Ratings & 3,656 Reviews"
14,"realme 9i (Prism Blue, 128 GB)",4.4,"1,22,561 Ratings & 7,030 Reviews"
15,"REDMI 9i Sport (Metallic Blue, 64 GB)",4.6,"88,654 Ratings & 6,648 Reviews"
16,"APPLE iPhone 11 (Green, 64 GB)",4.4,"1,22,561 Ratings & 7,030 Reviews"
17,"REDMI 9i Sport (Carbon Black, 64 GB)",4.4,"1,22,561 Ratings & 7,030 Reviews"
18,"REDMI 9i Sport (Coral Green, 64 GB)",4.4,"38,670 Ratings & 2,381 Reviews"
19,"REDMI 10 (Midnight Black, 64 GB)",4.3,"46,004 Ratings & 4,332 Reviews"
20,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",4.6,"88,654 Ratings & 6,648 Reviews"
21,"APPLE iPhone 11 (Purple, 128 GB)",4.6,"20,598 Ratings & 773 Reviews"
22,"realme C31 (Light Silver, 32 GB)",4.6,"20,598 Ratings & 773 Reviews"
